name,city_y
Mid-Wilshire,1391
Hollywood,1318
Venice,1221
West Hollywood,728
Long Beach,573
Santa Monica,563
Hollywood Hills,471
Silver Lake,437
Echo Park,414
Downtown,377
Pasadena,345
North Hollywood,307
Mar Vista,306
Westlake,270
West Los Angeles,267
Westwood,260
South LA,250
Sherman Oaks,244
Mid-City,226
Marina Del Rey,223
South Robertson,223
Del Rey,219
Westchester/Playa Del Rey,213
Beverly Hills,212
Los Feliz,198
Studio City,190
Malibu,184
Glendale,184
Redondo Beach,173
East Hollywood,172
