property_type,review_scores_rating,population,number_of_reviews,log_price,year
Hostel,90.375,59749.208333333336,12.041666666666666,2.822717201708034,2016.0833333333333
Dorm,88.70588235294117,49969.0,37.76470588235294,3.2621580590399986,2013.5882352941176
Tent,94.5,42346.333333333336,42.833333333333336,3.8006191659682513,2014.8333333333333
Camper/RV,94.46153846153847,51082.846153846156,45.61538461538461,4.166292419473739,2013.7692307692307
Bed & Breakfast,93.38709677419355,43510.93548387097,42.20967741935484,4.209909564333515,2013.8548387096773
In-law,97.0,48581.0,75.0,4.4998096703302615,2012.0
Cabin,96.36842105263158,47657.15789473684,85.73684210526316,4.592791164614911,2011.7368421052631
Boutique hotel,89.0,23768.0,10.0,4.59511985013459,2016.0
Apartment,93.61943925233645,39910.19252336449,33.83289719626168,4.622594605761229,2014.1054205607477
Other,93.93548387096774,41136.3870967742,39.54838709677419,4.649895710216437,2013.532258064516
Bungalow,95.9090909090909,47805.78787878788,37.474747474747474,4.6772105420035075,2013.8181818181818
House,95.14396456256921,46312.78571428572,38.80343300110742,4.690391127152567,2013.5802879291252
Guest suite,95.5,37993.5,48.0,4.698488296059582,2014.25
Guesthouse,97.4,43477.752,32.256,4.6987724066388585,2013.968
Townhouse,95.40243902439025,44590.95121951219,20.621951219512194,4.720422366016005,2014.2560975609756
Condominium,96.3452380952381,39514.44047619047,21.178571428571427,4.755158962990601,2014.4761904761904
Loft,95.27388535031847,21238.38853503185,36.69426751592356,4.816486611676679,2013.5541401273886
Serviced apartment,97.33333333333333,28843.0,8.333333333333334,4.894256727750023,2015.0
Castle,98.33333333333333,39439.666666666664,31.333333333333332,5.374394230002294,2015.0
Treehouse,97.5,35903.5,33.5,5.789356602754117,2011.0
Villa,94.5,31298.0,4.166666666666667,5.989443468479358,2015.3333333333333
